VCF_Dir,File_Name,Coll2014,Freschi2020,Sample_Name,Sample_ID,Lineage
/n/data1/hms/dbmi/farhat/ye12/who/vcfs_freebayes/SAMN12838345,SAMN12838345-freebayes.vcf,,,SAMN12838345,119967,"canetti,westafrican1,ethiopian,tur,mungi"
/n/data1/hms/dbmi/farhat/ye12/who/vcfs_freebayes/91640497-600f-718d-8223-b10e258e21d2-SPE_6B1800_D77B96EAA535,SPE_6B1800_D77B96EAA535-freebayes.vcf,,,SPE_6B1800_D77B96EAA535,166814,"canetti,westafrican1,ethiopian,tur,mungi"
/n/data1/hms/dbmi/farhat/ye12/who/vcfs_freebayes/48f7f989-5a6d-7b71-b082-4b8fa57f3890-24_PT-674_2019-030_1,24_PT-674_2019-030_1-freebayes.vcf,,,24_PT-674_2019-030_1,171503,"canetti,westafrican1,ethiopian,stype,tur,mungi"
/n/data1/hms/dbmi/farhat/ye12/who/vcfs_freebayes/SAMN07344637,SAMN07344637-freebayes.vcf,,,SAMN07344637,142816,"canetti,westafrican1,ethiopian,tur,mungi"
/n/data1/hms/dbmi/farhat/ye12/who/vcfs_freebayes/22afbf68-2b21-e405-43ef-4733de5d2515-24_PT-669_2018-579_1,24_PT-669_2018-579_1-freebayes.vcf,,,24_PT-669_2018-579_1,171499,"canetti,westafrican1,ethiopian,tur,mungi"
/n/data1/hms/dbmi/farhat/ye12/who/vcfs_freebayes/SAMN12838344,SAMN12838344-freebayes.vcf,,,SAMN12838344,119968,"canetti,westafrican1,ethiopian,tur,mungi"
/n/data1/hms/dbmi/farhat/ye12/who/vcfs_freebayes/SAMN07344639,SAMN07344639-freebayes.vcf,,,SAMN07344639,142814,"canetti,westafrican1,ethiopian,tur,mungi"
/n/data1/hms/dbmi/farhat/ye12/who/vcfs_freebayes/SAMN08437197,SAMN08437197-freebayes.vcf,,,SAMN08437197,96124,"canetti,westafrican1,ethiopian,tur,mungi"
